,Sample_ID,class,miR-335-3p,miR-205-5p,miR-183-5p,miR-132-3p,miR-182-5p,miR-339-3p,miR-216a-3p,miR-429,miR-17-3p,miR-20a-5p,miR-15b-3p,miR-873-5p,miR-210-3p,miR-4705,miR-135a-5p,miR-138-5p,miR-92a-3p,miR-346,miR-34a-5p,miR-139-3p,miR-34b-3p,miR-139-5p,miR-34b-5p,miR-141-3p,miR-96-5p,miR-34c-3p,miR-25-3p,miR-34c-5p,miR-216a-5p,miR-30a-3p,miR-93-5p,miR-19b-3p,miR-216b-5p,miR-200b-5p,miR-200a-3p,miR-130b-3p,miR-4423-3p,miR-216b-3p,miR-1915-3p,miR-4423-5p,miR-106b-3p,miR-217,miR-128-3p,miR-200c-3p,miR-301b,miR-195-5p,miR-93-3p,miR-375,miR-106b-5p,miR-200b-3p
71,112-7316-892_1,Ependymoma,8,16,12,1572,32,91,0,23,1526,11064,109,4,2235,18,2455,1122,26671,305,9906,29,1654,924,5299,74,29,1605,13689,22831,13,3926,15562,38477,6,0,203,1143,259,1,527,125,589,27,6976,57,296,47578,451,1300,11463,140
72,104-7316-452_1,Ganglioglioma,13,23,24,10356,37,140,3,30,603,3533,41,1293,538,69,226,27658,12873,636,17638,793,220,23870,450,107,29,135,4769,1389,20,1854,6352,12907,5,1,166,1232,13,0,1319,13,359,17,123894,111,335,17211,257,162,5864,129
73,104-7316-120_1,Ganglioglioma,18,12,347,10011,567,90,1,19,596,5062,54,339,385,120,308,9979,12320,481,14533,327,158,8749,199,84,1056,32,6812,210,61,1468,6770,16799,22,3,124,1416,8,0,462,7,365,37,47799,59,261,20286,200,16,6771,82
74,104-7316-914_1,Ganglioglioma,15,4,46,1589,117,132,1,14,862,7914,111,39,343,97,329,332,19994,470,39329,23,310,587,461,207,148,62,8769,705,18,4501,9657,23633,0,1,71,1263,30,0,885,8,496,29,14284,84,98,16610,288,3,9898,49
75,104-7316-91_1,Ganglioglioma,17,22,7,5295,38,111,3,47,601,4159,45,783,1088,89,301,40060,15879,840,5360,687,500,16396,413,136,34,162,4983,1739,12,1752,6191,14176,5,4,308,1144,8,6,399,15,321,29,73951,113,236,15706,241,100,4856,243
76,104-7316-230_1,Ganglioglioma,67,46,772,13853,1834,393,0,179,2383,20165,331,324,1383,557,2067,35663,52260,1339,89919,504,1704,14116,1859,390,3137,229,28104,1717,52,5273,23451,76533,29,17,975,8285,226,1,1344,137,1226,94,89419,290,633,107590,736,26,28549,791
77,104-7316-359_1,Ganglioglioma,17,12,15,21994,59,76,0,5,414,3097,41,1617,525,63,279,36642,5700,441,842,933,232,30430,17,31,44,10,2034,80,14,685,3633,9597,1,2,42,1082,1,1,2533,0,162,10,189205,21,231,6177,116,37,3621,27
78,104-7316-156_1,Ganglioglioma,26,24,83,795,193,89,20,42,423,3707,125,26,1421,31,110,3824,14776,374,29827,26,363,589,475,217,321,72,5302,633,148,2604,5661,10718,37,17,214,1652,39,22,486,24,227,93,4969,187,213,24847,171,22,5179,236
79,104-7316-893_1,Ganglioglioma,9,11,57,3983,117,117,0,77,773,6851,45,141,452,160,192,25444,13336,690,25238,153,238,4164,351,139,124,140,8517,780,27,1194,8494,21453,4,5,433,839,44,0,733,7,385,31,26438,106,223,20509,232,16,8535,299
80,104-7316-1793_1,Ganglioglioma,6,14,7,10181,22,154,0,27,1018,5668,24,407,903,134,51,10373,11957,589,28854,166,290,4534,512,206,12,193,5810,1915,52,724,6342,18946,4,4,118,675,18,1,297,4,433,46,20996,133,130,7255,199,11,6526,121
